Line_Number	Stimulus	Response_Code	Stimulus_Type	x	y	Stimulus_Duration	Size
1	stim1.tif	NaN	image	center	center	0.5	100
2	stim2.tif	NaN	image	center	center	0.5	100
3	stim3.tif	NaN	image	center	center	0.5	100
4	stim4.tif	NaN	image	center	center	0.5	100
5	stim5.tif	NaN	image	center	center	0.5	100
6	stim6.tif	NaN	image	center	center	0.5	100
7	stim7.tif	NaN	image	center	center	0.5	100
8	stim8.tif	NaN	image	center	center	0.5	100
9	stim9.tif	NaN	image	center	center	0.5	100
10	stim10.tif	NaN	image	center	center	0.5	100
11	stim11.tif	NaN	image	center	center	0.5	100
