Event_Name	Event_Code	Note	Trigger_Port	Trigger_Value	Trigger_Duration
Target onset	+	posobjtype; fetch_signal->show_stim	parallel_port	10	0.01
CD keypress	CD	decision_outcome	parallel_port	11	0.01
CD delivery	h	response_feedback	parallel_port	111	0.01
MD keypress	MD		parallel_port	12	0.01
MD delivery noshock	m0		parallel_port	112	0.01
MD delivery shock1	m	scheduler not programmed yet.	parallel_port	212	0.01
MD delivery shock2	m2		parallel_port	213	0.01
MD delivery shock3	m3		parallel_port	214	0.01
Foil onset	-	negobjtyp from f_s/assign_signal	parallel_port	20	0.01
FA keypress	FA	Code from decision_outcome	parallel_port	21	0.01
FA delivery	a	Code from payoff list	parallel_port	121	0.01
CR keypress	CR		parallel_port	22	0.01
CR delivery	j		parallel_port	122	0.01
8 bits high	pulse	Broadband noise glitch preceeding initial trigger.	parallel_port	255	0.01
off	off	Turn port off	parallel_port	0	0.1
